Method,PR-AUC,F1-score,Precision,Recall,TN,FP,FN,TP,PR-AUC 95% CI,F1-score 95% CI,Precision 95% CI,Recall 95% CI
Isolation forest,0.9973055065647658,0.9818181818181818,0.9642857142857144,1.0,47,1,0,27,"[0.987, 1.000]","[0.939, 1.000]","[0.885, 1.000]","[1.000, 1.000]"
One-class SVM,0.9973055065647658,0.9615384615384616,1.0,0.925925925925926,48,0,2,25,"[0.986, 1.000]","[0.885, 1.000]","[1.000, 1.000]","[0.794, 1.000]"
PCA reconstruction,0.9653103033065836,0.9473684210526316,0.9,1.0,45,3,0,27,"[0.892, 1.000]","[0.862, 1.000]","[0.757, 1.000]","[1.000, 1.000]"
