Method,PR-AUC,F1-score,Precision,Recall,TN,FP,FN,TP,PR-AUC CI Low,PR-AUC CI High,F1 CI Low,F1 CI High,Precision CI Low,Precision CI High,Recall CI Low,Recall CI High
Global MSE,0.5929314500099551,0.6666666666666666,1.0,0.5,2478,0,11,11,0.3942385721995863,0.7712554299849518,0.4444444444444444,0.8235294117647058,1.0,1.0,0.2857142857142857,0.7
Global MAE,0.4651585336628119,0.5161290322580645,0.8888888888888888,0.3636363636363636,2477,1,14,8,0.2735745217061105,0.6502604606840984,0.2727272727272727,0.705977229601518,0.6363636363636364,1.0,0.1666666666666666,0.5714285714285714
SVE (5 Segments),0.9450714087579344,0.9090909090909092,0.9090909090909092,0.9090909090909092,2476,2,2,20,0.8466210324576974,1.0,0.8,0.9803921568627452,0.7647058823529411,1.0,0.7619047619047619,1.0
SVE (7 Segments),0.979270329674948,0.85,0.9444444444444444,0.7727272727272727,2477,1,5,17,0.9349698242933536,1.0,0.7178571428571429,0.9454545454545454,0.8233957219251337,1.0,0.5909090909090909,0.9285714285714286
