Method,Score,PR-AUC,F1,Precision,Recall
CNN-AE,Global MSE,0.9740975228451204,0.9152542372881356,0.84375,1.0
CNN-AE,Global MAE,0.988483626948588,0.912280701754386,0.8666666666666667,0.9629629629629628
CNN-AE,SVE max,0.9561331250084364,0.9310344827586208,0.8709677419354839,1.0
CNN-AE,SVE topk,0.9624571576287652,0.9310344827586208,0.8709677419354839,1.0
Isolation forest,Anomaly score,0.9960739794711696,0.9454545454545454,0.9285714285714286,0.9629629629629628
One-class SVM,Anomaly score,0.9973055065647658,0.9615384615384616,1.0,0.925925925925926
PCA reconstruction,MSE,0.9653103033065836,0.9473684210526316,0.9,1.0
