Method,PR-AUC,F1-score,Precision,Recall
Global MSE,0.5929314500099551,0.6666666666666666,1.0,0.5
Global MAE,0.4651585336628119,0.5161290322580645,0.8888888888888888,0.3636363636363636
SVE Manual (9 segm.),0.9922595520421608,0.926829268292683,1.0,0.8636363636363636
SVE Auto (5 segm.),0.8507028525281191,0.7058823529411765,1.0,0.5454545454545454
