Method,PR-AUC,F1-score,Precision,Recall
One-class SVM,0.9176203996030552,0.7692307692307693,0.8823529411764706,0.6818181818181818
Isolation Forest,0.7694506756702693,0.6666666666666666,0.6521739130434783,0.6818181818181818
PCA Reconstruction,0.9677372497152164,0.9,1.0,0.8181818181818182
SVE (5 Segments),0.9450714087579344,0.9090909090909092,0.9090909090909092,0.9090909090909092
SVE (7 Segments),0.979270329674948,0.85,0.9444444444444444,0.7727272727272727
