Method,PR-AUC,F1-score,Precision,Recall
Global MSE,0.5929314500099551,0.6666666666666666,1.0,0.5
Global MAE,0.4651585336628119,0.5161290322580645,0.8888888888888888,0.3636363636363636
"SVE (9 segments, top-1)",0.8669465620927869,0.8260869565217391,0.8260869565217391,0.8260869565217391
"SVE (10 segments, top-1)",0.8476765631001563,0.8163265306122449,0.7692307692307693,0.8695652173913043
