segments,top_k,threshold,pr_auc,f1,precision,recall
1,1,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,2,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,3,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,4,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,5,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,6,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,7,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,8,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,9,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
1,10,0.0011308841640129685,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,1,0.001458209240809083,0.758914383934475,0.7804878048780488,0.8888888888888888,0.6956521739130435
2,2,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,3,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,4,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,5,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,6,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,7,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,8,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,9,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
2,10,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
3,1,0.0018063916359096766,0.8686875293227512,0.8085106382978723,0.7916666666666666,0.8260869565217391
3,2,0.0014727178495377302,0.8376335928038019,0.8,0.9411764705882353,0.6956521739130435
3,3,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,4,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,5,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,6,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,7,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,8,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,9,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
3,10,0.0011308842804282904,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
4,1,0.002011914039030671,0.8743891034092446,0.8076923076923077,0.7241379310344828,0.9130434782608695
4,2,0.001580126117914915,0.8439134019583819,0.8260869565217391,0.8260869565217391,0.8260869565217391
4,3,0.0014133523218333721,0.724725301865359,0.7894736842105263,1.0,0.6521739130434783
4,4,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,5,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,6,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,7,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,8,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,9,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
4,10,0.0011404600227251649,0.6933614824602332,0.7222222222222222,1.0,0.5652173913043478
5,1,0.0018713065655902028,0.891353566610563,0.84,0.7777777777777778,0.9130434782608695
5,2,0.0017369939014315605,0.8531751131933379,0.8260869565217391,0.8260869565217391,0.8260869565217391
5,3,0.0016244373982772231,0.7561496397123117,0.8,0.9411764705882353,0.6956521739130435
5,4,0.0013869551476091146,0.6753049056050511,0.7027027027027027,0.9285714285714286,0.5652173913043478
5,5,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
5,6,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
5,7,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
5,8,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
5,9,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
5,10,0.0011308842804282904,0.6847706034264471,0.7222222222222222,1.0,0.5652173913043478
6,1,0.0026252700481563807,0.8582388512519987,0.8085106382978723,0.7916666666666666,0.8260869565217391
6,2,0.001967213349416852,0.8418336635569889,0.8181818181818182,0.8571428571428571,0.782608695652174
6,3,0.0018436858663335443,0.7893668452550536,0.8,0.9411764705882353,0.6956521739130435
6,4,0.0016008354723453522,0.7122847546121204,0.7567567567567568,1.0,0.6086956521739131
6,5,0.0013341109734028578,0.675932571909976,0.7027027027027027,0.9285714285714286,0.5652173913043478
6,6,0.0011308841640129685,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
6,7,0.0011308841640129685,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
6,8,0.0011308841640129685,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
6,9,0.0011308841640129685,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
6,10,0.0011308841640129685,0.6847706034264472,0.7222222222222222,1.0,0.5652173913043478
7,1,0.0031094742007553577,0.8908738836170186,0.8163265306122449,0.7692307692307693,0.8695652173913043
7,2,0.0024507222697138786,0.8623511804389205,0.8181818181818182,0.8571428571428571,0.782608695652174
7,3,0.0022036496084183455,0.8090628836887357,0.8,0.9411764705882353,0.6956521739130435
7,4,0.0017834873870015144,0.7412810909085805,0.7894736842105263,1.0,0.6521739130434783
7,5,0.001518431818112731,0.6771961566075922,0.717948717948718,0.875,0.6086956521739131
7,6,0.0012854677625000477,0.6800535707222911,0.7368421052631579,0.9333333333333333,0.6086956521739131
7,7,0.0011111224303022027,0.6799874146715409,0.7368421052631579,0.9333333333333333,0.6086956521739131
7,8,0.0011111224303022027,0.6799874146715409,0.7368421052631579,0.9333333333333333,0.6086956521739131
7,9,0.0011111224303022027,0.6799874146715409,0.7368421052631579,0.9333333333333333,0.6086956521739131
7,10,0.0011111224303022027,0.6799874146715409,0.7368421052631579,0.9333333333333333,0.6086956521739131
8,1,0.0032034136820584536,0.8386222682502383,0.8095238095238095,0.8947368421052632,0.7391304347826086
8,2,0.0026306796353310347,0.8631071952667771,0.8181818181818182,0.8571428571428571,0.782608695652174
8,3,0.0020586589816957712,0.8429870801696429,0.8181818181818182,0.8571428571428571,0.782608695652174
8,4,0.0019492092542350292,0.7651135897688849,0.8,0.9411764705882353,0.6956521739130435
8,5,0.001693016616627574,0.7240803290747456,0.7894736842105263,1.0,0.6521739130434783
8,6,0.0014945556176826358,0.6911724859171771,0.7222222222222222,1.0,0.5652173913043478
8,7,0.0012981360778212547,0.6916930928820405,0.7222222222222222,1.0,0.5652173913043478
8,8,0.0011433307081460953,0.691699364160318,0.7222222222222222,1.0,0.5652173913043478
8,9,0.0011433307081460953,0.691699364160318,0.7222222222222222,1.0,0.5652173913043478
8,10,0.0011433307081460953,0.691699364160318,0.7222222222222222,1.0,0.5652173913043478
9,1,0.003437515813857317,0.8669465620927869,0.8260869565217391,0.8260869565217391,0.8260869565217391
9,2,0.0032529591117054224,0.850200518141742,0.8205128205128205,1.0,0.6956521739130435
9,3,0.00252803904004395,0.8109210271891798,0.8,0.9411764705882353,0.6956521739130435
