score,cv_iteration,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
global_mse,1,0.0011308841640129685,0.5465576707868798,0.5,1.0,0.3333333333333333,991,0,6,3
global_mse,2,0.0011308841640129685,0.7125406608457456,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,3,0.0011308841640129685,0.8208707211698238,0.875,1.0,0.7777777777777778,991,0,2,7
global_mse,4,0.0011308841640129685,0.5139464341133412,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,5,0.0011483714915812016,0.6431336568857792,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,6,0.0011483714915812016,0.4357969512401299,0.36363636363636365,1.0,0.2222222222222222,991,0,7,2
global_mse,7,0.0011308841640129685,0.6794491129785247,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,8,0.0011308841640129685,0.7144635851952925,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,9,0.0011308841640129685,0.6942373470151247,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,10,0.0011308841640129685,0.704941417501804,0.8,1.0,0.6666666666666666,991,0,3,6
global_mse,11,0.0011839860817417502,0.8288966049382716,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,12,0.0011308841640129685,0.8100684261974584,0.875,1.0,0.7777777777777778,991,0,2,7
global_mse,13,0.0011308841640129685,0.3030754731794764,0.36363636363636365,1.0,0.2222222222222222,991,0,7,2
global_mse,14,0.0011308841640129685,0.6281427636690794,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,15,0.0011308841640129685,0.647004910192766,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,16,0.0011308841640129685,0.5758011619904203,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,17,0.0011308841640129685,0.7095959595959596,0.8,1.0,0.6666666666666666,991,0,3,6
global_mse,18,0.0011308841640129685,0.5199488148068037,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,19,0.0011308841640129685,0.6237397194000969,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,20,0.0011483714915812016,0.7758125472411187,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,21,0.0011483714915812016,0.6802580693142942,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mse,22,0.0011308841640129685,0.689024927296719,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mse,23,0.0011308841640129685,0.3979774630126873,0.36363636363636365,1.0,0.2222222222222222,991,0,7,2
global_mse,24,0.0011308841640129685,0.7220230840920496,0.8,1.0,0.6666666666666666,991,0,3,6
global_mse,25,0.0011308841640129685,0.7084448594252515,0.8,1.0,0.6666666666666666,991,0,3,6
global_mae,1,0.01386643573641777,0.46615451785429424,0.5714285714285714,0.8,0.4444444444444444,990,1,5,4
global_mae,2,0.01386643573641777,0.4173596870965292,0.5,1.0,0.3333333333333333,991,0,6,3
global_mae,3,0.01394901517778635,0.7916666666666667,0.75,0.8571428571428571,0.6666666666666666,990,1,3,6
global_mae,4,0.01386643573641777,0.48634767048204025,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mae,5,0.01386643573641777,0.5174565154344566,0.5714285714285714,0.8,0.4444444444444444,990,1,5,4
global_mae,6,0.01386643573641777,0.2967506438127907,0.3333333333333333,0.6666666666666666,0.2222222222222222,990,1,7,2
global_mae,7,0.01394901517778635,0.6288149908839564,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mae,8,0.01386643573641777,0.6038091346808631,0.6666666666666666,0.8333333333333334,0.5555555555555556,990,1,4,5
global_mae,9,0.01386643573641777,0.5035333556976176,0.5714285714285714,0.8,0.4444444444444444,990,1,5,4
global_mae,10,0.01386643573641777,0.6927735393844549,0.8,1.0,0.6666666666666666,991,0,3,6
global_mae,11,0.01386643573641777,0.49708751847601773,0.5333333333333333,0.6666666666666666,0.4444444444444444,989,2,5,4
global_mae,12,0.01386643573641777,0.8056282088540153,0.875,1.0,0.7777777777777778,991,0,2,7
global_mae,13,0.01386643573641777,0.2905153152158838,0.36363636363636365,1.0,0.2222222222222222,991,0,7,2
global_mae,14,0.01386643573641777,0.5809037516480882,0.6666666666666666,0.8333333333333334,0.5555555555555556,990,1,4,5
global_mae,15,0.01394901517778635,0.5108846970637272,0.5,1.0,0.3333333333333333,991,0,6,3
global_mae,16,0.01386643573641777,0.4109009970960573,0.5,1.0,0.3333333333333333,991,0,6,3
global_mae,17,0.01386643573641777,0.701748692738253,0.7058823529411765,0.75,0.6666666666666666,989,2,3,6
global_mae,18,0.01394901517778635,0.40614521758121835,0.36363636363636365,1.0,0.2222222222222222,991,0,7,2
global_mae,19,0.01386643573641777,0.61373494204312,0.6666666666666666,0.8333333333333334,0.5555555555555556,990,1,4,5
global_mae,20,0.01386643573641777,0.6053635591881861,0.7142857142857143,1.0,0.5555555555555556,991,0,4,5
global_mae,21,0.01386643573641777,0.47920119675954975,0.5333333333333333,0.6666666666666666,0.4444444444444444,989,2,5,4
global_mae,22,0.01386643573641777,0.5187858924237531,0.6153846153846154,1.0,0.4444444444444444,991,0,5,4
global_mae,23,0.014004011638462543,0.33651643406650816,0.18181818181818182,0.5,0.1111111111111111,990,1,8,1
