segments,1,2,3,4,5,6,7,8,9,10
1,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471
2,0.758914383934475,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471
3,0.8686875293227512,0.8376335928038019,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472
4,0.8743891034092446,0.8439134019583819,0.724725301865359,0.6933614824602332,0.6933614824602332,0.6933614824602332,0.6933614824602332,0.6933614824602332,0.6933614824602332,0.6933614824602332
5,0.891353566610563,0.8531751131933379,0.7561496397123117,0.6753049056050511,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471,0.6847706034264471
6,0.8582388512519987,0.8418336635569889,0.7893668452550536,0.7122847546121204,0.675932571909976,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472,0.6847706034264472
7,0.8908738836170186,0.8623511804389205,0.8090628836887357,0.7412810909085805,0.6771961566075922,0.6800535707222911,0.6799874146715409,0.6799874146715409,0.6799874146715409,0.6799874146715409
8,0.8386222682502383,0.8631071952667771,0.8429870801696429,0.7651135897688849,0.7240803290747456,0.6911724859171771,0.6916930928820405,0.691699364160318,0.691699364160318,0.691699364160318
9,0.8669465620927869,0.850200518141742,0.8109210271891798,0.7876645515790892,0.7381750157661706,0.6767322674886174,0.6767406257482037,0.6778767281646154,0.6758710404585644,0.6758710404585644
10,0.8476765631001563,0.8460622123800636,0.825738915137107,0.7943119910335763,0.7520379188498967,0.7183861681042886,0.6781345923964616,0.6808847560693967,0.6847244135480082,0.6847706034264472
11,0.8002570640476291,0.8523039874602129,0.8325689002749661,0.8156567699132583,0.7588420652370946,0.7298145200052675,0.6875111723569762,0.6772851686375744,0.6801334736263652,0.6801426771912811
12,0.8420303304241571,0.8468424016429188,0.8301002113419435,0.8200478845889558,0.7931598848268224,0.7463746052252748,0.7182468742381014,0.6811023010032198,0.6825620513004731,0.6855872955568033
13,0.8097673405750972,0.8382196585817542,0.8263509837298264,0.8138456974993579,0.7878659621970213,0.7566456796268235,0.7389964332578715,0.7138847860708555,0.6981475458959931,0.6988867697114161
14,0.7738842929040626,0.8423199135481049,0.813094156374641,0.8021505685081972,0.7857911783662074,0.7541617063199044,0.7310378522566243,0.707074018495988,0.6788001611233375,0.6814109875323977
15,0.7747778367833259,0.8284721724254062,0.8249083759726057,0.8104691710360395,0.7915067458545548,0.7609343952407537,0.7448143821075468,0.7269141878536294,0.6943777872613283,0.6782932916721219
16,0.7794841056769806,0.8391971412189709,0.8287626744430889,0.8108424794487854,0.7948917316274843,0.7757589402944737,0.7483222231942326,0.7316149400090309,0.7140874281302498,0.6886264927697152
17,0.7227553432612863,0.8335675399433884,0.8257936065430345,0.8114736897375742,0.8055257236001097,0.7958662287831496,0.7714493195223616,0.7479662793811594,0.7306684552612791,0.7117550839964176
18,0.7599256889842791,0.821102874693598,0.8336992129137231,0.8166246503059786,0.8069288794491176,0.7910370329143066,0.7709176804752942,0.7462478636553341,0.730653330345535,0.7142097682607902
19,0.6988291748908328,0.8047130773527916,0.8129783615292618,0.8092785540716345,0.7956515162241521,0.7824505913059815,0.7596211749829653,0.7481099949935938,0.7327854878106154,0.7170557205910225
20,0.7104689119174104,0.8305405305224772,0.828547071559974,0.8230212134171725,0.8101098890119545,0.8041661388042446,0.7924803171111446,0.7637098974404369,0.7478830749249978,0.7323280244617305
21,0.7083025822891322,0.7995828123008879,0.8344670520717002,0.8138726972319668,0.8085779073840427,0.8001479333048219,0.7888612437783058,0.7680053113292651,0.750014423342743,0.7329232483584953
22,0.6982507791150404,0.7940054425356763,0.801660590601852,0.8089887908213871,0.7997512758727474,0.7838971592910726,0.7701870016926269,0.7544542066638857,0.7468695159962934,0.7359793431568795
23,0.6627530768872101,0.8183045152846953,0.8232764567584192,0.8228007787071722,0.8158178491171448,0.8040012269702204,0.7971171147580204,0.7850263057046153,0.7671842114343257,0.7507968903682891
24,0.6492912545803466,0.7913634363109325,0.8310666589091091,0.8194064461466404,0.8177010293446708,0.8167746183065275,0.8137284225606282,0.7944063215324295,0.775309902088208,0.751818073572267
25,0.6354090646993734,0.7571646927052492,0.7944758764876401,0.8055984044580964,0.7991339606108572,0.7903680788958023,0.7809435914781511,0.7678819686627693,0.756197950547288,0.746834298932212
26,0.5757948063306154,0.7637105298444998,0.8021825723065619,0.8131534096244487,0.8084200546126402,0.8049343092855982,0.8016915672728151,0.7940331152072412,0.7845444463844867,0.7686116692186425
27,0.6114289933052494,0.7707553379658423,0.827403249411595,0.8263762971574992,0.8150968017969242,0.8137937918448929,0.8084085099743762,0.801972507628676,0.789517444875032,0.7706098030007407
28,0.6464326540627081,0.7796187653061013,0.8138664678824862,0.8240639852138708,0.8191338857901972,0.8130018995879702,0.8056132940958208,0.8008277980536702,0.7953458938820258,0.7876100714728466
29,0.6353680955197245,0.7796103301973167,0.8233942578007537,0.8294178995349939,0.8263992491109196,0.8212784815853567,0.819221652871907,0.813748141355856,0.8062049104706329,0.796161360717877
