,pr_auc,f1,precision,recall
mean,0.8742166624225447,0.7025252525252526,0.80015873015873,0.7
std,0.11817426707711684,0.18718947934182845,0.1554262732701024,0.26792856190730074
min,0.6542424242424243,0.3333333333333333,0.5714285714285714,0.2
max,1.0,1.0,1.0,1.0
