dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
broach_dataset,cnn_ae,global_mse,0.0011308841640129685,0.5929314500099551,0.6666666666666666,1.0,0.5,2478,0,11,11
broach_dataset,cnn_ae,global_mae,0.01394901517778635,0.46515853366281196,0.5161290322580645,0.8888888888888888,0.36363636363636365,2477,1,14,8
broach_dataset,cnn_ae,sve_max,0.003437515813857317,0.9922595520421609,0.926829268292683,1.0,0.8636363636363636,2478,0,3,19
broach_dataset,cnn_ae,sve_topk,0.00252803904004395,0.8507028525281191,0.7058823529411765,1.0,0.5454545454545454,2478,0,10,12
broach_dataset,cnn_ae,maxpool_mse_3x3,0.0032608446199446917,0.710810137708191,0.6666666666666666,1.0,0.5,2478,0,11,11
broach_dataset,cnn_ae,maxpool_mse_5x5,0.005449076183140278,0.7954866552324342,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13
broach_dataset,cnn_ae,maxpool_mse_9x9,0.009615123271942139,0.9087695233804725,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16
broach_dataset,cnn_ae,maxpool_mse_15x15,0.016753898933529854,0.9133362006219808,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16
broach_dataset,cnn_ae,maxpool_mse_25x25,0.029332464560866356,0.918870523415978,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,maxpool_mse_35x35,0.042228978127241135,0.9162223137909635,0.8421052631578947,1.0,0.7272727272727273,2478,0,6,16
broach_dataset,cnn_ae,maxpool_mse_51x51,0.06411188095808029,0.8967154642706527,0.8205128205128205,0.9411764705882353,0.7272727272727273,2477,1,6,16
broach_dataset,cnn_ae,maxpool_mse_75x75,0.10127387195825577,0.8307153061991769,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13
broach_dataset,cnn_ae,maxpool_mse_101x101,0.1457902491092682,0.9412444721769871,0.625,1.0,0.45454545454545453,2478,0,12,10
