dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
broach_dataset,one_class_svm_image_features,anomaly_score,15.57981948760888,0.9176203996030551,0.7692307692307693,0.8823529411764706,0.6818181818181818,2476,2,7,15
broach_dataset,isolation_forest_image_features,anomaly_score,0.15247834333070054,0.7694506756702693,0.6666666666666666,0.6521739130434783,0.6818181818181818,2470,8,7,15
broach_dataset,pca_image_reconstruction,reconstruction_mse,0.000503418268635869,0.9677372497152164,0.9,1.0,0.8181818181818182,2478,0,4,18
