dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
turning,isolation_forest_image_features,anomaly_score,0.045325628913368665,0.9973055065647658,0.9818181818181818,0.9642857142857143,1.0,47,1,0,27,0.9867909789763237,1.0000000000000002,0.9387755102040817,1.0,0.8846153846153846,1.0,1.0,1.0,1000
turning,one_class_svm_image_features,anomaly_score,0.2263308130978794,0.9973055065647658,0.9615384615384616,1.0,0.9259259259259259,48,0,2,25,0.9857025088956607,1.0,0.8852301387137452,1.0,1.0,1.0,0.7940922920892495,1.0,1000
turning,pca_image_reconstruction,anomaly_score,0.001353343715891242,0.9653103033065837,0.9473684210526315,0.9,1.0,45,3,0,27,0.8924020328990824,0.9999999999999999,0.8619458128078817,1.0,0.7573863636363637,1.0,1.0,1.0,1000
