method,pr_auc_mean,pr_auc_std,f1_mean,f1_std
isolation_forest_image_features,0.7065740151474158,0.18909470684301877,0.5701927058448797,0.16405518916399037
one_class_svm_image_features,0.8781531431531431,0.08158424242052102,0.7563592582168434,0.15491481970176077
pca_image_reconstruction,0.920206401672458,0.06468684789504056,0.8089816358392209,0.11127916729607834
