dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
broach_dataset,isolation_forest_image_features,anomaly_score,0.15247834333070054,0.7694506756702693,0.6666666666666666,0.6521739130434783,0.6818181818181818,2470,8,7,15,0.5849365861809462,0.9069841179915928,0.4799047619047619,0.8095982142857142,0.44986111111111116,0.85,0.46153846153846156,0.875,1000
broach_dataset,one_class_svm_image_features,anomaly_score,15.57981948760888,0.9176203996030551,0.7692307692307693,0.8823529411764706,0.6818181818181818,2476,2,7,15,0.8140202801475581,0.9890938170448736,0.5882352941176471,0.8979591836734694,0.7058823529411765,1.0,0.4704901960784314,0.8637121212121212,1000
broach_dataset,pca_image_reconstruction,anomaly_score,0.000503418268635869,0.9677372497152164,0.9,1.0,0.8181818181818182,2478,0,4,18,0.9008781041106989,1.0,0.7878787878787878,0.9795918367346939,1.0,1.0,0.65,0.96,1000
