dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
turning,cnn_ae,global_mse,0.0018643724033609033,0.9740975228451203,0.9152542372881356,0.84375,1.0,43,5,0,27,0.9186355941356085,1.0,0.8214285714285714,0.9777777777777777,0.696969696969697,0.9565217391304348,1.0,1.0,1000
turning,cnn_ae,global_mae,0.027283979579806328,0.9884836269485879,0.9122807017543859,0.8666666666666667,0.9629629629629629,44,4,1,26,0.9628186815967015,1.0,0.8147834274952919,0.9811320754716981,0.7142857142857143,0.9696969696969697,0.8694927536231883,1.0,1000
turning,cnn_ae,sve_max,0.0037520311307162046,0.9561331250084364,0.9310344827586207,0.8709677419354839,1.0,44,4,0,27,0.8815207626859458,0.9948409307251135,0.8363636363636363,0.9850746268656716,0.71875,0.9705882352941176,1.0,1.0,1000
turning,cnn_ae,sve_topk,0.00250825472176075,0.9624571576287653,0.9310344827586207,0.8709677419354839,1.0,44,4,0,27,0.892039834897701,0.998458595958596,0.8363636363636363,0.9850746268656716,0.71875,0.9705882352941176,1.0,1.0,1000
